Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Євдокименко,Борислав,Миколайович,чоловіча,1986-08-04,Епідеміолог,село Вознесенівка,"вулиця Дальній, буд. 172, Самбір, 57565",+380 69 101-42-64,valentynabarabash@example.org
Сірко,Лариса,Богданівна,жіноча,1999-01-17,Гірник,хутір Донецьк,"площа Середня, буд. 9 кв. 1, Олександрівськ, 79528",792-59-20,gshyian@example.org
Андрієнко,Оксенія,Григорівна,жіноча,1934-09-01,Дерун,хутір Алупка,"площа Травневий 1-й, буд. 81, Дубно, 40324",+380 05 459-89-23,omelianhavryshkevych@example.net
Чубай,Захар,Вікторович,чоловіча,1938-04-25,Архітектор,хутір Олександрівськ,"вулиця Кільовий, буд. 97, Немирів, 08204",+380 (20) 179-14-95,varfolomiibezditko@example.com
Тичина,Едита,Русланівна,жіноча,1941-01-01,Кінорежисер,селище Винники,"проспект Петра Лещенка, буд. 050, Куп'янськ, 49986",060 011-89-39,irynahaidamaka@example.com
Штокало,Анжела,Костянтинівна,жіноча,1957-12-27,Головний меркшейдер,село Вознесенськ,"узвіз Східний, буд. 596, Сніжне, 43783",+380 22 559-28-43,rdanylenko@example.net
Носаченко,Аніта,Олександрівна,жіноча,1954-08-12,Зоолог,хутір Яремче,"провулок 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 50, Бахчисарай, 46009",+380 09 673-63-53,uakulenko@example.net
Венгринович,Микита,Михайлович,чоловіча,1930-09-03,Фермер,хутір Буча,"площа Качалова, буд. 38, Острог, 89963",+380 (75) 690-17-50,zhukvitalii@example.net
Чала,Надія,Миколаївна,жіноча,1979-10-01,Графік,хутір Макіївка,"набережна Дунаєва, буд. 657, Рава-Руська, 95798",+380 41 236-21-74,yonufriienko@example.org
Деркач,Соломон,Богданович,чоловіча,1976-12-06,Геолог,селище Волноваха,"парк Удільний, буд. 893, Южне, 13151",079 133-97-89,vitalii04@example.com
Дурдинець,Орхип,Тарасович,чоловіча,1937-08-31,Співак,хутір Снігурівка,"сквер Людмили Гінзбург, буд. 312, Немирів, 14463",479-87-22,bvashchenko-zakharchenko@example.net
Лукаш,Маруся,Леонідівна,жіноча,1928-08-30,Круп'є,місто Арциз,"узвіз Мацієвської, буд. 01, Привілля, 59207",541-10-99,halynavlasenko@example.net
Ященко,Теодор,Григорович,чоловіча,1939-04-30,Промисловець,селище Гірське,"площа Трудових резервів, буд. 177 кв. 846, Мукачево, 63978",+380 73 660-51-19,huzmarusia@example.com
Кальченко,Онисим,Сергійович,чоловіча,2002-03-28,Вчитель,хутір Бердянськ,"набережна Благовидової, буд. 46, Боярка, 53736",+380 67 471-25-56,stepanlemeshko@example.net
Бабійчук,Ілля,Тарасович,чоловіча,1987-03-21,Нотаріус,хутір Угнів,"вулиця Люстдорфський, буд. 507, Зіньків, 42741",+380 06 066-62-96,yarsenych@example.org
Нестеренко,Віолетта,Миколаївна,жіноча,1933-08-27,Каскадер,місто Івано-Франківськ,"набережна Дальницька, буд. 34 кв. 4, Остер , 52438",+380 67 848-89-57,nadiia73@example.net
Дуплій,Андрій,Юрійович,чоловіча,1935-10-27,Акушер,селище Новоград-Волинський,"проспект Скляний 3-й, буд. 9 кв. 8, Щолкіне, 01944",152-21-02,iaroslav85@example.net
Артюх,Мартин,Олександрович,чоловіча,1960-09-12,Соціолог,село Снігурівка,"сквер Пантелеймонівська, буд. 2 кв. 56, Люботин, 92502",+380 (75) 941-34-31,givasiuk@example.org
Тесленко,Андрій,Миколайович,чоловіча,1947-12-22,Єгер,село Лубни,"узвіз Соляний 5-й, буд. 8 кв. 30, Куп'янськ, 43393",188-59-16,haidaimartyn@example.com
Калениченко,Роксолана,Андріївна,жіноча,2004-05-30,Клавішник,село Городок,"парк Молодіжна, буд. 40 кв. 273, Кам'янка-Бузька, 53762",+380 98 671 64 30,mykhailo80@example.com
Артюх,Миколай,Юрійович,чоловіча,1935-05-06,Провізор,місто Горохів,"шосе Шефська, буд. 4 кв. 63, Родинське, 63233",024 312-87-02,asaulaleon@example.net
Стець,Любов,Федорівна,жіноча,1982-01-27,Професор,місто Полтава,"проспект Стеценко, буд. 4 кв. 0, Бурштин , 97569",037 27 69,anastasiia68@example.net
Корбут,Богданна,Петрівна,жіноча,1933-03-24,Стоматолог,селище Люботин,"набережна Гвардійська, буд. 628, Хрестівка, 54832",+380 (70) 158-05-80,venhrynovychdmytro@example.com
Ажажа,Богодар,Григорович,чоловіча,1989-01-05,Антрополог,місто Міусинськ,"провулок Ланжерон, буд. 8, Сокиряни, 69012",015 256 66 43,irenaverkhola@example.com
Шахрай,Костянтин,Юрійович,чоловіча,1975-04-20,Прокурор,село Старий Крим,"набережна Разумовська, буд. 04 кв. 351, Пологи , 83915",078 489-32-59,pustovitihnat@example.org
Чумаченко,Ярослав,Русланович,чоловіча,1950-06-25,Лікар,селище Зіньків,"площа Гаршина, буд. 8, Болехів, 10535",481 74 17,dan86@example.net
Щорс,Феофан,Ярославович,чоловіча,1996-03-09,Геолог,хутір Снятин,"вулиця Колекційна, буд. 834 кв. 285, Хрустальний, 82822",+380 97 450-24-40,dmytro72@example.org
Єрмоленко,Гаврило,Сергійович,чоловіча,1984-09-25,Археолог,місто Перевальськ,"узвіз Іванова 2-й, буд. 860, Горлівка, 31873",+380 94 859 74 81,volodymyrasirko@example.com
Петрик,Ігнат,Олександрович,чоловіча,1995-03-21,Петрограф,хутір Біляївка,"вулиця Ананьївська, буд. 86, Городенка, 29759",+380 (22) 869-66-49,hresanzhela@example.net
Ващенко-Захарченко,Назар,Євгенович,чоловіча,1951-02-13,Правник,село Гадяч,"проспект Олександра Кутузакія, буд. 036 кв. 220, Молодогвардійськ, 01547",+380 (07) 580-97-46,danylo69@example.net
Дубенко,Болеслав,Миколайович,чоловіча,1931-06-11,Акушер,місто Покров,"шосе 15-та ст. Великого Фонтану пляж, буд. 802 кв. 6, Черкаси, 10507",045 949 81 28,khomababenko@example.net
Малик,Леонтій,Петрович,чоловіча,1946-04-05,Бібліограф,хутір Носівка,"провулок Чорноморський 6-й, буд. 318 кв. 27, Васильків, 63940",+380 36 987-71-96,vovkavrelii@example.com
Жученко,Устим,Юрійович,чоловіча,2000-02-26,Гірник,місто Рогатин,"шосе Вознесенський, буд. 44 кв. 24, Зіньків, 60646",+380 (94) 470-58-12,ruslantovstolis@example.org
Щербак,Златослава,Сергіївна,жіноча,1967-08-12,Астрофізик,селище Гірське,"узвіз Промислова, буд. 82, Сарни, 06681",+380 61 918-82-43,vakhniileontii@example.net
Базилевський,Семен,Юрійович,чоловіча,1983-06-07,Мовознавець,хутір Вишгород,"проспект Соляний 6-й, буд. 184 кв. 9, Глобине, 03218",+380 (71) 807-91-34,tetianavivcharenko@example.org
Єфименко,Омелян,Михайлович,чоловіча,1975-07-04,Клоун,село Тисмениця,"площа Пляжна, буд. 6 кв. 582, Лисичанськ, 93298",+380 34 484-19-11,tarasenkoborys@example.com
Забашта,Ярослава,Олександрівна,жіноча,1958-03-17,Графік,село Кролевець,"площа Ковалевського, буд. 8 кв. 908, Комарно, 12974",+380 72 921 14 72,olenatovstukha@example.org
Забашта,Ярослав,Леонідович,чоловіча,1939-01-09,Стиліст,місто Бахчисарай,"сквер Умова, буд. 9, Мирноград, 97140",045-74-40,hordiikorolenko@example.com
Самойленко,Аліна,Ярославівна,жіноча,1976-08-10,Різноробочий,хутір Герца,"проспект Амбулаторна, буд. 4, Тернопіль, 43070",098 242-20-64,veniiamynzinchuk@example.com
Фартушняк,Володимир,Захарович,чоловіча,1969-11-09,Стиліст,хутір Синельникове,"вулиця Сабанський, буд. 92, Кальміуське, 13570",000 577 18 76,danylchukbohuslava@example.com
